type,topic,source,title,body,tag,payload
fact,Interview Prep,llm,"Idioms signal experience","Idiomatic code is a hiring signal: Python enumerate instead of range-len, tuple unpacking for swaps, comprehensions where they clarify. Fighting the language with foreign idioms suggests you have not lived in it — practice in the dialect natives write.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Language choice","What matters most about your interview language choice?","Languages & OOP","{""options"": [""Choosing the fastest-executing language"", ""Deep fluency in whichever language you pick"", ""Choosing the interviewer's favorite"", ""Using the newest language""], ""correct"": ""Deep fluency in whichever language you pick"", ""explain"": ""Interviewers evaluate problem solving through the medium of code — hesitant syntax obscures good thinking. Any mainstream language is acceptable; mastery of it is not optional.""}"
fact,Interview Prep,llm,"What Java and Python really pass","Java is strictly pass-by-value — but the value of an object variable IS a reference, so methods can mutate the object yet cannot rebind the caller's variable. Python's model is the same idea: call-by-object-reference. Reassignment inside a function never affects the caller.","Languages & OOP",
fact,Interview Prep,llm,"Mutation vs rebinding","The distinction that resolves every confusion: list.append inside a function is MUTATION — visible to the caller; list = [] inside is REBINDING — invisible. Interview bugs from aliasing (two variables, one underlying list) trace to exactly this line.","Languages & OOP",
fact,Interview Prep,llm,"Mutable default arguments","Python's famous trap: def f(x, acc=[]) evaluates the default ONCE, so every call shares one list that accumulates garbage across calls. The idiom is acc=None, then acc = [] inside. Naming this unprompted when writing recursive helpers is a strong fluency tell.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Rebinding visibility","A Python function receives a list and executes lst = [1, 2, 3]. What does the caller observe?","Languages & OOP","{""options"": [""The caller's list becomes [1, 2, 3]"", ""Nothing — rebinding a parameter never affects the caller"", ""A runtime error"", ""The list is deep-copied""], ""correct"": ""Nothing — rebinding a parameter never affects the caller"", ""explain"": ""Assignment points the LOCAL name at a new object; the caller's reference still targets the original. Mutation like lst.append WOULD be visible — the mutation-versus-rebinding line.""}"
fact,Interview Prep,llm,"The four pillars","Encapsulation hides internal state behind an interface; abstraction exposes essential behavior while hiding mechanism; inheritance lets types extend types; polymorphism lets one call site dispatch to many implementations. Have a one-sentence definition AND a concrete example for each.","Languages & OOP",
fact,Interview Prep,llm,"Polymorphism in practice","Polymorphism is why code can call shape.area() without knowing the shape: each subclass supplies its own implementation and dynamic dispatch picks at runtime. It is the pillar interviews probe deepest — be ready to contrast overriding (runtime) with overloading (compile-time).","Languages & OOP",
fact,Interview Prep,llm,"Encapsulation's real payoff","Encapsulation is not secrecy for its own sake — it is invariant protection: a BankAccount whose balance changes only through deposit and withdraw can enforce non-negativity in one place. Framing pillars by the bugs they prevent beats reciting textbook definitions.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Which pillar","Code calls animal.speak() and a Dog barks while a Cat meows through the same call site. Which OOP pillar is this?","Languages & OOP","{""options"": [""Encapsulation"", ""Polymorphism"", ""Abstraction"", ""Composition""], ""correct"": ""Polymorphism"", ""explain"": ""One interface, many behaviors, selected by the object's runtime type — the definition of polymorphism via method overriding and dynamic dispatch.""}"
fact,Interview Prep,llm,"Interface vs abstract class","An interface declares a capability contract with no state — a class can implement many. An abstract class shares partial implementation and fields — single inheritance in Java. Rule of thumb: interfaces for CAN-DO capabilities, abstract classes for IS-A families with shared code.","Languages & OOP",
fact,Interview Prep,llm,"Composition over inheritance","Prefer building behavior by CONTAINING collaborators over inheriting: composition swaps behavior at runtime, avoids fragile base class coupling, and dodges hierarchy explosions. The classic illustration: a Stack IMPLEMENTED-WITH a list, not extending one — extending exposes insert-anywhere and breaks the stack contract.","Languages & OOP",
fact,Interview Prep,llm,"When inheritance is right","Inheritance still earns its place for genuine is-a relationships with stable base behavior — template method patterns, framework extension points. The interview answer is not never inherit but default to composition; justify inheritance. Nuance beats slogans.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Modeling a capability","Several unrelated classes — File, Socket, Database — all need a close() capability. Which construct fits best?","Languages & OOP","{""options"": [""A shared abstract base class"", ""An interface like Closeable"", ""Copy-pasted methods"", ""A global function""], ""correct"": ""An interface like Closeable"", ""explain"": ""These types share no is-a family or state — only a capability contract. Interfaces attach capabilities across unrelated hierarchies; an abstract class would force an artificial common ancestor.""}"
fact,Interview Prep,llm,"Static vs dynamic typing","Static typing (Java, C++, Rust) checks types at compile time, catching mismatches before running and enabling tooling; dynamic typing (Python, JavaScript) defers checks to runtime, buying flexibility and speed of iteration. Neither is winning the argument — know both trade-off columns.","Languages & OOP",
fact,Interview Prep,llm,"Compile-time vs runtime errors","A missing semicolon or type mismatch fails compilation; a null dereference, index out of bounds, or division by zero explodes at runtime. The static-typing pitch is shifting bug discovery leftward; the counterpoint is tests catch what types cannot, like logic errors.","Languages & OOP",
fact,Interview Prep,llm,"Type hints as middle ground","Python's gradual typing — annotations checked by mypy but ignored at runtime — and TypeScript over JavaScript show the industry converging on optional static analysis atop dynamic languages. Mentioning gradual typing marks your knowledge as current.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: When is it caught","Passing a string where an int is expected — when does Java flag it versus Python?","Languages & OOP","{""options"": [""Both at compile time"", ""Java at compile time, Python at runtime (if at all)"", ""Both at runtime"", ""Python at compile time, Java at runtime""], ""correct"": ""Java at compile time, Python at runtime (if at all)"", ""explain"": ""Java's static checker rejects the mismatch before execution. Python happily runs until an operation actually fails — possibly never, if the string quacks like the needed type.""}"
fact,Interview Prep,llm,"Stack vs heap allocation","The stack holds each call's frame — locals, parameters, return address — allocated and freed by pointer bumps, fast and automatic. The heap holds dynamically allocated objects with lifetimes beyond any one call, managed by an allocator plus garbage collection or manual frees.","Languages & OOP",
fact,Interview Prep,llm,"What lives where","In Java, primitives and references live in stack frames; every object body lives on the heap. Deep recursion overflows the STACK; unbounded object growth exhausts the HEAP. Knowing which resource an algorithm strains explains its failure mode under scale.","Languages & OOP",
fact,Interview Prep,llm,"Why stack allocation is fast","Stack allocation is a pointer increment and enjoys cache locality; heap allocation searches for space, synchronizes, and fragments. This is the memory-model backdrop to iterative-versus-recursive trade-offs and why tight loops avoid per-iteration allocations.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Overflow location","Infinite recursion crashes a program by exhausting which memory region?","Languages & OOP","{""options"": [""The heap"", ""The call stack"", ""Static storage"", ""The instruction cache""], ""correct"": ""The call stack"", ""explain"": ""Every unreturned call pushes another frame onto the fixed-size stack until it overflows — the literal stack overflow. Heap exhaustion instead throws out-of-memory on allocation.""}"
fact,Interview Prep,llm,"Three memory philosophies","Java garbage-collects: allocate freely, a runtime collector reclaims unreachable objects — safe but with pause and overhead costs. C++ is manual: new and delete (tamed by RAII and smart pointers) — maximal control, footgun included. Rust's ownership checks lifetimes at COMPILE time: safety without a collector.","Languages & OOP",
fact,Interview Prep,llm,"How GC decides","Collectors trace reachability from roots — stack references, globals — and reclaim what nothing references. Note that reachable-but-never-used objects still leak: a static map that only grows defeats GC. Generational collectors exploit the fact that most objects die young.","Languages & OOP",
fact,Interview Prep,llm,"Rust's ownership pitch","Rust gives each value one owner; moves transfer it, borrows lend it under compiler-enforced rules — no use-after-free, no data races, no GC pauses. Comparing the three models fluently is a genuine differentiator in language-design conversations; one paragraph per model suffices.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Memory safety without GC","Which language achieves memory safety with neither garbage collection nor manual frees?","Languages & OOP","{""options"": [""Java"", ""C"", ""Rust"", ""Python""], ""correct"": ""Rust"", ""explain"": ""Rust's ownership and borrowing rules are verified at compile time, so lifetimes are proven safe before the program runs — no runtime collector, no delete calls, no dangling pointers.""}"
fact,Interview Prep,llm,"Floating point comparison","Never compare floats with equality: 0.1 plus 0.2 does not equal 0.3 in binary floating point. Compare within an epsilon, or better, restructure to integers — cents instead of dollars, cross products instead of slopes. Money in floats is the canonical review-comment offense.","Languages & OOP",
fact,Interview Prep,llm,"Shallow vs deep copy","A shallow copy duplicates the container but SHARES nested objects — mutate a nested list through one copy and the other sees it. Deep copy recursively duplicates everything. Backtracking bugs where saved paths all mutate together are shallow-copy bugs: append a COPY of the path.","Languages & OOP",
fact,Interview Prep,llm,"Language-specific traps list","Keep a per-language trap sheet: Java integer overflow wraps silently and Integer equality above 127 breaks with ==. Python slices copy shallowly and is compares identity. C++ iterator invalidation on container growth. Naming your language's traps preempts the gotcha round.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: The shared-guts bug","After a shallow copy of a list of lists, modifying an inner list through the copy does what?","Languages & OOP","{""options"": [""Nothing to the original"", ""Also changes the original's inner list"", ""Raises an error"", ""Deep-copies on write""], ""correct"": ""Also changes the original's inner list"", ""explain"": ""Shallow copies duplicate only the outer container; inner references still point at the SAME nested objects. Deep copy is the fix when independent state is required.""}"
fact,Interview Prep,llm,"Identity vs equality","Java's == compares references for objects — use equals for content; Python's is compares identity — use == for content. String comparison with == in Java works just often enough (interning) to create heisenbugs. State which comparison you mean when keys matter.","Languages & OOP",
fact,Interview Prep,llm,"The equals-hashCode contract, applied","Custom objects as hash keys demand the contract: equal objects must share a hash code. Override one without the other and map lookups silently miss. In Python, define eq and hash together; better, use tuples, records, or dataclasses that generate them correctly.","Languages & OOP",
fact,Interview Prep,llm,"Immutability's dividends","Immutable objects are inherently thread-safe, safe as map keys (their hash never shifts), and alias-proof. The cost is copying on change — usually worth it. Java Strings and Python tuples model it; explaining WHY keys should be immutable connects three interview topics at once.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Mutable map keys","Why is using a mutable object as a hash map key dangerous?","Languages & OOP","{""options"": [""It is slower"", ""Mutating it after insert changes its hash, stranding the entry"", ""Maps reject mutable keys"", ""It causes deadlocks""], ""correct"": ""Mutating it after insert changes its hash, stranding the entry"", ""explain"": ""The entry sits in the bucket chosen by the OLD hash; lookups with the new state probe a different bucket and miss. The entry becomes unreachable garbage — immutable keys prevent it entirely.""}"
fact,Interview Prep,llm,"Exceptions vs error codes","Exception philosophy: separate the happy path from failure handling, propagate automatically, fail loudly. The alternative — returned error values — makes failure explicit at every call site. Java adds checked exceptions (declared, compiler-enforced) versus unchecked; know your language's stance.","Languages & OOP",
fact,Interview Prep,llm,"Result types","Rust's Result and Option, Go's error returns, and functional Either types encode failure IN the type system: the compiler forces callers to acknowledge it, and null vanishes as a concept. The trade-off is ceremony on every call versus invisible propagation.","Languages & OOP",
fact,Interview Prep,llm,"Interview error hygiene","In interviews, do not litter solutions with try-catch — instead SAY the strategy: I would validate inputs here, and this parse could throw, which I would surface to the caller. Demonstrated awareness at boundaries beats defensive clutter throughout.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Result's enforcement","What does returning a Result type give you that throwing an exception does not?","Languages & OOP","{""options"": [""Faster execution always"", ""The compiler forces callers to handle the failure case"", ""Automatic retries"", ""Smaller binaries""], ""correct"": ""The compiler forces callers to handle the failure case"", ""explain"": ""Failure lives in the return TYPE, so ignoring it is a compile error. Exceptions propagate invisibly and are easy to forget — the core trade-off between the two philosophies.""}"
fact,Interview Prep,llm,"Generics in one line","Generics parameterize types over other types: List of String is checked at compile time, no casts, no runtime type errors on retrieval. Pre-generics Java collections held Object and cast on the way out — a whole bug class generics deleted.","Languages & OOP",
fact,Interview Prep,llm,"Bounded type parameters","Bounds constrain parameters usefully: T extends Comparable of T lets a generic max function actually compare. C++ templates instantiate per-type at compile time; Java erases to Object at runtime — the erasure detail explains why Java cannot do new T().","Languages & OOP",
fact,Interview Prep,llm,"Where interviews touch generics","Generics appear in interviews as reading fluency — understanding PriorityQueue of int-array with a comparator — and occasionally in design: make this cache generic over key and value. Writing one clean generic class signature is worthwhile prep.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: What generics buy","What is the primary benefit of List<String> over a raw List holding Objects?","Languages & OOP","{""options"": [""It uses less memory"", ""Compile-time type safety without casting"", ""It is sorted automatically"", ""Faster iteration""], ""correct"": ""Compile-time type safety without casting"", ""explain"": ""The compiler rejects wrong-type inserts and retrieval needs no cast — errors move from runtime ClassCastExceptions to compile-time messages.""}"
fact,Interview Prep,llm,"Matching language to problem","Different problems favor different tools: Python for algorithmic brevity and rich built-ins; Java or C++ where types clarify design questions or performance semantics matter; scripting for text munging. If you know several, choosing per-problem — and saying why — is a differentiator.","Languages & OOP",
fact,Interview Prep,llm,"Announce the choice","Open with one line: I will use Python for concise data structure work — happy to discuss how this maps to Java. It preempts language-availability questions and displays deliberateness. Then never switch mid-problem; consistency beats showmanship.","Languages & OOP",
fact,Interview Prep,llm,"Knowing your language's costs","Per-language performance folklore worth knowing: Python function calls and loops carry real overhead (hence library vectorization); Java JIT warms up hot paths; C++ zero-cost abstractions are actually zero-cost. One such fact, placed well, signals depth beyond syntax.","Languages & OOP",
quiz,Interview Prep,llm,"Quiz: Multi-language positioning","You know Python, Java, and Rust. What is the strongest way to handle language choice in an interview?","Languages & OOP","{""options"": [""Alternate languages between problems to show range"", ""Pick the best fit, state the reason in one sentence, and stay consistent"", ""Always choose the fastest language"", ""Let the interviewer choose""], ""correct"": ""Pick the best fit, state the reason in one sentence, and stay consistent"", ""explain"": ""A deliberate, justified choice signals engineering judgment; switching mid-loop signals indecision. Breadth is best shown through one comparative remark, not code tourism.""}"
fact,Interview Prep,llm,"Process vs thread","A process is a running program with its OWN address space; threads live inside a process sharing its memory while owning their own stacks and registers. Sharing memory makes thread communication cheap — and race conditions possible. Process isolation is safety; thread sharing is speed.","Operating Systems",
fact,Interview Prep,llm,"Context switching","A context switch saves one execution context and restores another: registers, program counter, and — for processes — the memory mappings. Process switches cost more than thread switches (address space and cache/TLB effects). Too many threads means the CPU spends its time switching, not working.","Operating Systems",
fact,Interview Prep,llm,"Chrome as the example","Concrete anchor: browsers run each tab as a separate PROCESS so one crash cannot corrupt others — isolation over efficiency. A web server handling requests with a THREAD pool chooses the opposite: shared caches and cheap spawning. Pick examples like these over definitions alone.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: What threads share","Threads within one process share which of the following?","Operating Systems","{""options"": [""Stacks and registers"", ""Heap memory and open file descriptors"", ""Nothing"", ""Program counters""], ""correct"": ""Heap memory and open file descriptors"", ""explain"": ""The address space — heap, globals, code — and process resources like file descriptors are shared; each thread keeps only its own stack, registers, and program counter.""}"
fact,Interview Prep,llm,"Concurrency vs parallelism","Concurrency is STRUCTURING work as independently progressing tasks — achievable on one core by interleaving. Parallelism is EXECUTING work simultaneously on multiple cores. A single-core server juggling a thousand connections is concurrent; a matrix multiply across 8 cores is parallel.","Operating Systems",
fact,Interview Prep,llm,"IO-bound vs CPU-bound","IO-bound work (network calls, disk reads) benefits from concurrency — other tasks run while one waits. CPU-bound work needs true parallelism — more cores. Diagnosing which kind of bound a workload has decides whether more threads help at all.","Operating Systems",
fact,Interview Prep,llm,"The GIL footnote","Python's Global Interpreter Lock permits one thread to execute Python bytecode at a time: threads still help IO-bound loads (the lock releases during waits) but not CPU-bound ones — use multiprocessing there. A precise GIL explanation is a reliable interview point-scorer.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: One core, many tasks","A single-core machine smoothly runs a chat server handling hundreds of clients. This demonstrates what?","Operating Systems","{""options"": [""Parallelism"", ""Concurrency without parallelism"", ""Hyperthreading"", ""Distributed computing""], ""correct"": ""Concurrency without parallelism"", ""explain"": ""Tasks interleave — each progresses during others' IO waits — but at any instant only one executes. Parallelism requires simultaneous execution on multiple cores.""}"
fact,Interview Prep,llm,"Race conditions","A race condition is correctness depending on unlucky timing: two threads read-modify-write a shared counter, interleave between the read and the write, and one increment vanishes. The failure is intermittent and unreproducible — the worst debugging class there is.","Operating Systems",
fact,Interview Prep,llm,"Critical sections","The code touching shared mutable state is the critical section; correctness demands mutual exclusion — one thread inside at a time. Keep critical sections MINIMAL: lock, touch the shared state, unlock. Long critical sections serialize your parallelism away.","Operating Systems",
fact,Interview Prep,llm,"Check-then-act","The subtlest race shape is check-then-act: if key not in map, then insert — another thread can insert between your check and your act. Compound operations need atomic equivalents (putIfAbsent) or a lock around BOTH steps; each step being individually safe is not enough.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: The lost update","Two threads each run counter++ once on a shared counter starting at 0. Which final values are possible without synchronization?","Operating Systems","{""options"": [""Only 2"", ""1 or 2"", ""Only 1"", ""0, 1, or 2""], ""correct"": ""1 or 2"", ""explain"": ""counter++ is read, add, write. If both read 0 before either writes, both write 1 — a lost update. Correct interleavings still give 2, which is what makes races intermittent.""}"
fact,Interview Prep,llm,"Mutex vs semaphore","A mutex is a lock with ownership: one holder, who must release it. A semaphore is a counter admitting up to N holders — a permit pool, usable for signaling between threads too. The interview line: mutex for exclusive access, semaphore for limited resources or coordination.","Operating Systems",
fact,Interview Prep,llm,"Atomic operations","Atomics are hardware-level indivisible operations — compare-and-swap, atomic increment — that fix simple races without locks: an AtomicInteger counter needs no mutex. They power lock-free structures, but composing MULTIPLE atomics is not atomic; compound invariants still need locks.","Operating Systems",
fact,Interview Prep,llm,"Condition variables","Condition variables let a thread sleep until a predicate might hold: wait releases the lock and blocks; notify wakes waiters to re-check. The canonical detail — wait in a WHILE loop, not an if, because of spurious wakeups — is a favorite depth probe.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Limiting concurrency","At most 5 threads may query a fragile downstream service simultaneously. Which primitive fits directly?","Operating Systems","{""options"": [""A mutex"", ""A semaphore initialized to 5"", ""An atomic boolean"", ""A condition variable alone""], ""correct"": ""A semaphore initialized to 5"", ""explain"": ""A counting semaphore hands out up to 5 permits; the sixth thread blocks until one releases. A mutex is the special case of exactly one permit.""}"
fact,Interview Prep,llm,"Deadlock's four conditions","Deadlock requires all four Coffman conditions: mutual exclusion, hold-and-wait, no preemption, and circular wait. Break ANY one and deadlock is impossible — which turns the memorized list into an actual prevention toolkit.","Operating Systems",
fact,Interview Prep,llm,"Lock ordering","The workhorse prevention: impose a GLOBAL order on locks and always acquire in that order — circular wait becomes impossible. The classic bug is two threads locking A-then-B and B-then-A; the classic fix is everyone locks A before B, by ID or address.","Operating Systems",
fact,Interview Prep,llm,"Other escapes","Alternatives each break one condition: acquire all locks atomically upfront (no hold-and-wait), use tryLock with timeout and back off (preemption, effectively), or reduce to one lock (no circularity). Naming which CONDITION each tactic breaks is the answer structure interviewers want.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Why ordering works","Enforcing a global lock acquisition order prevents deadlock by eliminating which Coffman condition?","Operating Systems","{""options"": [""Mutual exclusion"", ""Circular wait"", ""No preemption"", ""Hold and wait""], ""correct"": ""Circular wait"", ""explain"": ""A cycle of waiters requires someone holding a later lock to wait on an earlier one — impossible if everyone acquires in ascending order. One broken condition, deadlock gone.""}"
fact,Interview Prep,llm,"Thread safety defined","Thread-safe code behaves correctly under any interleaving of concurrent callers. Routes there: immutability (nothing to race on), confinement (each thread owns its data), synchronization (locks guarding shared state), or thread-safe library structures like ConcurrentHashMap.","Operating Systems",
fact,Interview Prep,llm,"Producer-consumer","The producer-consumer pattern decouples work generation from processing through a BOUNDED blocking queue: producers block when full (backpressure), consumers block when empty. It is the standard design-a-concurrent-thing interview question — practice sketching it with two condition variables.","Operating Systems",
fact,Interview Prep,llm,"Why bounded matters","An unbounded queue lets fast producers outrun consumers until memory dies. The bound converts overload into backpressure — producers slow to match consumers. Volunteering the memory argument for boundedness is precisely the systems maturity being screened for.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Full queue behavior","In producer-consumer with a bounded blocking queue, what happens when a producer finds the queue full?","Operating Systems","{""options"": [""It drops the item"", ""It blocks until a consumer removes an item"", ""The queue grows"", ""It crashes""], ""correct"": ""It blocks until a consumer removes an item"", ""explain"": ""Blocking on full is the backpressure mechanism — production throttles to consumption speed automatically, keeping memory bounded. Dropping or growing are different, explicit policy choices.""}"
fact,Interview Prep,llm,"Virtual memory","Virtual memory gives every process a private address space, mapped to physical RAM in pages by the OS and hardware. Benefits stack up: process isolation, memory over-commitment via swapping, and the illusion of contiguous space over fragmented physical frames.","Operating Systems",
fact,Interview Prep,llm,"Paging and page faults","Address translation walks page tables, cached by the TLB. Touching an unmapped page triggers a page fault — the OS loads it from disk or backing store, brutally slower than RAM. Thrashing is the death spiral of constant faulting when working sets exceed memory.","Operating Systems",
fact,Interview Prep,llm,"Leaks in managed languages","Memory leaks survive garbage collection: a static cache that only grows, listeners never unregistered, thread-locals never cleared — all REACHABLE, so the collector keeps them. Leak means unintentionally retained, not merely unfreed. That distinction is a common probe.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Leaking with a GC","How can a Java program leak memory despite garbage collection?","Operating Systems","{""options"": [""It cannot"", ""By keeping unwanted objects reachable, e.g. an ever-growing static map"", ""By forgetting to call free"", ""By using too many threads""], ""correct"": ""By keeping unwanted objects reachable, e.g. an ever-growing static map"", ""explain"": ""GC reclaims only UNREACHABLE objects. References held in long-lived structures pin objects forever — the collector is doing its job; the program's retention is the bug.""}"
fact,Interview Prep,llm,"Scheduling basics","The scheduler multiplexes runnable threads onto cores. Classic strategies: round-robin time slices, priority-based preemption, and multilevel feedback queues that demote CPU hogs and favor interactive tasks. Awareness tier — the vocabulary matters more than the algorithms.","Operating Systems",
fact,Interview Prep,llm,"Preemptive vs cooperative","Preemptive scheduling interrupts threads at timer boundaries — no one can hog a core; cooperative scheduling waits for tasks to yield — simpler, but one bad actor stalls everything. Async event loops (JavaScript, Python asyncio) are cooperative: a blocking call in the loop freezes the world.","Operating Systems",
fact,Interview Prep,llm,"Starvation and priority inversion","Two named pathologies worth recognizing: starvation — a low-priority task never scheduled under load — and priority inversion — a high-priority task stuck behind a low-priority lock holder. The famous Mars Pathfinder reboot bug was priority inversion; priority inheritance fixed it.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: The frozen event loop","In a cooperative single-threaded event loop, one callback enters an infinite computation. What happens to other tasks?","Operating Systems","{""options"": [""They run on other threads"", ""They are starved until the callback yields"", ""The OS preempts the callback"", ""They queue-jump by priority""], ""correct"": ""They are starved until the callback yields"", ""explain"": ""Cooperative scheduling relies on tasks yielding voluntarily; nothing preempts a running callback. This is why blocking work must be offloaded from event loops.""}"
fact,Interview Prep,llm,"User vs kernel mode","CPUs run in user mode (restricted) or kernel mode (full hardware access). Applications must ask the kernel for privileged work — touching hardware, other processes' memory — via system calls. The boundary is the OS's security and stability perimeter.","Operating Systems",
fact,Interview Prep,llm,"System calls","A system call — read, write, open, fork — traps into the kernel, switches mode, executes, and returns. Mode transitions cost real time, which is why batching IO (buffered readers, writev) outperforms many tiny calls. Library functions like printf WRAP syscalls; they are not syscalls themselves.","Operating Systems",
fact,Interview Prep,llm,"Why this appears in interviews","This surfaces in performance intuition questions: why is reading a file byte-by-byte slow (a syscall per byte) or what happens during a network read (block in kernel until data arrives). One accurate sentence about crossing the boundary usually suffices.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Buffered IO's win","Why does buffered file reading dramatically outperform reading one byte at a time?","Operating Systems","{""options"": [""Disks read bytes backwards"", ""It amortizes expensive syscalls and mode switches over large chunks"", ""Buffers compress data"", ""The kernel caches nothing otherwise""], ""correct"": ""It amortizes expensive syscalls and mode switches over large chunks"", ""explain"": ""Each read syscall pays a user-to-kernel round trip. One 64KB read replaces 65536 one-byte trips — the classic batching argument, applicable to network and database calls alike.""}"
fact,Interview Prep,llm,"File descriptors","A file descriptor is a small integer handle into a process's table of open IO resources — files, sockets, pipes all uniformly. Descriptors 0, 1, and 2 are stdin, stdout, stderr; shell redirection is descriptor rewiring. Everything is a file is the Unix design slogan behind it.","Operating Systems",
fact,Interview Prep,llm,"Descriptor exhaustion","Descriptors are a finite per-process resource; leaking them — opening sockets or files without closing — eventually fails all new IO with too many open files. It is a classic production incident, and the reason languages push with-open patterns and try-with-resources.","Operating Systems",
fact,Interview Prep,llm,"Blocking vs non-blocking IO","A blocking read parks the thread until data arrives — simple, thread-per-connection. Non-blocking IO plus readiness notification (epoll, kqueue) lets ONE thread supervise thousands of sockets — the engine inside nginx and Node. The C10K problem is the historical frame for why this matters.","Operating Systems",
quiz,Interview Prep,llm,"Quiz: Standard descriptors","Which file descriptor numbers are conventionally stdin, stdout, and stderr?","Operating Systems","{""options"": [""1, 2, 3"", ""0, 1, 2"", ""-1, 0, 1"", ""3, 4, 5""], ""correct"": ""0, 1, 2"", ""explain"": ""Unix convention: 0 reads input, 1 writes output, 2 writes errors. Shell redirection like 2>&1 is literally re-pointing descriptor 2 at descriptor 1's target.""}"
fact,Interview Prep,llm,"URL to pixels, the pipeline","What happens when you type a URL: DNS resolves the name to an IP, TCP connects (plus TLS for HTTPS), the browser sends an HTTP request, the server responds with HTML, and the browser parses, fetches subresources, and renders. Narrate those five stages FIRST, then go deep where asked.","Networking & Web",
fact,Interview Prep,llm,"Depth on demand","This question is a zoom test: the interviewer picks a stage and descends — how does DNS caching work, what is in the TCP handshake, how does the browser build the render tree. Prepare one extra level of detail under each stage rather than a memorized monologue.","Networking & Web",
fact,Interview Prep,llm,"Do not forget the ends","Two commonly dropped bookends: BEFORE DNS, the browser checks its own and the OS cache, and may short-circuit entirely; AFTER the response, rendering, JavaScript execution, and further requests continue for seconds. Mentioning caches and the render phase rounds out the answer.","Networking & Web",
quiz,Interview Prep,llm,"Quiz: Pipeline order","Which ordering is correct for loading an HTTPS page?","Networking & Web","{""options"": [""TCP, DNS, TLS, HTTP"", ""DNS, TCP, TLS, HTTP"", ""TLS, DNS, TCP, HTTP"", ""HTTP, DNS, TCP, TLS""], ""correct"": ""DNS, TCP, TLS, HTTP"", ""explain"": ""You need the IP before connecting, a TCP connection before securing it, and a secure channel before the encrypted HTTP request flows. Each stage feeds the next.""}"
fact,Interview Prep,llm,"DNS resolution","DNS resolution walks a hierarchy: your resolver asks a root server, which points to the top-level-domain servers, which point to the domain's authoritative server, which returns the record. Recursive resolvers do this walk FOR you and cache the results.","Networking & Web",
fact,Interview Prep,llm,"DNS caching and TTL","Every DNS answer carries a TTL; browsers, OSes, and resolvers cache until it expires. Caching is why most lookups never leave your machine — and why DNS changes propagate slowly. Low TTLs enable fast failover at the cost of more lookups.","Networking & Web",
fact,Interview Prep,llm,"Record types worth naming","Know four record types: A maps name to IPv4 (AAAA for IPv6), CNAME aliases one name to another, MX routes mail, NS delegates to name servers. DNS load balancing — returning different IPs per query — is the one-liner connecting DNS to system design.","Networking & Web",
quiz,Interview Prep,llm,"Quiz: The resolver walk","In a full uncached DNS resolution, which server order does the recursive resolver query?","Networking & Web","{""options"": [""Authoritative, TLD, root"", ""Root, TLD, authoritative"", ""TLD only"", ""Any random order""], ""correct"": ""Root, TLD, authoritative"", ""explain"": ""The hierarchy narrows: root servers know where dot-com lives, TLD servers know the domain's name servers, and the authoritative server holds the actual record.""}"
fact,Interview Prep,llm,"TCP vs UDP","TCP is a connection with guarantees: ordered, reliable, retransmitted, flow-controlled bytes. UDP is fire-and-forget datagrams: no ordering, no delivery promise, minimal latency. Web pages and APIs ride TCP; gaming, voice, video, and DNS queries favor UDP where stale retransmits are useless.","Networking & Web",
fact,Interview Prep,llm,"The three-way handshake","TCP opens with SYN, SYN-ACK, ACK: each side proves it can send and receive and exchanges initial sequence numbers. That full round trip before any data is why connection reuse (keep-alive) and connection pooling matter for latency.","Networking & Web",
fact,Interview Prep,llm,"Reliability's machinery","TCP's guarantees come from sequence numbers, ACKs, retransmission timers, and congestion control that throttles senders when the network drops packets. QUIC — HTTP/3's transport — rebuilds this reliability over UDP to cut handshake latency; one sentence of QUIC awareness lands well.","Networking & Web",
